,Company,Natural Gas,Oil,NGL,compsymbol
Total,Concho Resources Inc,1562.19,10.21,103.38,RRC
Total,occidental petroleum,371.83,0.78,0.26,OXY
Total,Chevron Corporation,1164.33,304.0,0.0,CVX
Total,Apache Corp,850.33,221.33,724.01,APA
Total,EOG Resources,191.17,0.33,0.1,EOG
Total,Hess Corp,48.08,12.76,5.69,HES
Total,Marathon Oil Corp,134.83,0.21,0.07,MRO
Total,Southwestern Energy Co,0.16,1.08,6.11,SWN
Total,Oasis Petroleum Inc,2382.67,5.78,0.0,OAS
Total,Silverbow Resorces,8045.67,1.17,1.25,SBOW
Total,SM Energy,51.67,0.06,0.02,SM
Total,Concho Resources Inc,119.83,0.2,0.0,CXO
